scenario,VISIT,Subtype,DATSCAN_CAUDATE_L,DATSCAN_CAUDATE_R,DATSCAN_PUTAMEN_L,DATSCAN_PUTAMEN_L_ANT,DATSCAN_PUTAMEN_R,DATSCAN_PUTAMEN_R_ANT,GM_VOLUME,IMAGEID,Mediane_Caudate_L,Mediane_Caudate_R,Mediane_GPI_L,Mediane_GPI_R,Mediane_Putamen_L,Mediane_Putamen_R,Mediane_RN_L,Mediane_RN_R,Mediane_SN_L,Mediane_SN_R,Mediane_STR_L,Mediane_STR_R,Moyenne_Caudate_L,Moyenne_Caudate_R,Moyenne_GPI_L,Moyenne_GPI_R,Moyenne_Putamen_L,Moyenne_Putamen_R,Moyenne_RN_L,Moyenne_RN_R,Moyenne_SN_L,Moyenne_SN_R,Moyenne_STR_L,Moyenne_STR_R
global_scores,V06,3,1.5107843137254902,1.5096078431372548,0.6437254901960784,0.9978431372549019,0.6170588235294118,0.9713725490196078,844892.7,438033.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
global_scores,V06,4,1.7388207547169812,1.742311320754717,0.6948584905660378,1.1154716981132076,0.7206132075471698,1.1555188679245283,812429.296875,441717.25,8.344845294952393,7.623503605524699,12.06894580523173,11.963431199391684,11.154955546061196,11.44051710764567,10.411190350850424,10.838630596796671,12.02346428235372,12.179368178049723,10.506389697392782,10.479528427124023,7.2401875257492065,6.69667387008667,12.087722301483154,11.928957462310791,11.236998716990156,11.503453095753988,10.390265385309855,10.691611210505167,12.135854403177897,12.38705007235209,9.645923932393393,9.698843717575073
global_scores,V06,5,1.533125,1.3621874999999999,0.5971875,0.9824999999999999,0.5459375,0.8984375,775219.625,445340.375,4.865533620119095,5.127315044403076,10.755842208862305,11.998148918151857,10.704767227172853,10.644678115844727,8.204413645900786,10.827022075653076,10.635122656822205,12.513689279556274,9.790771722793579,9.656469583511353,4.980801969766617,5.080927848815918,10.985685348510744,11.931493997573853,10.493682742118837,10.378797173500061,8.263480246067047,10.743469715118408,10.494116306304932,12.82446837425232,8.281261563301086,8.22237253189087
global_scores,V06,6,1.165,1.06375,0.4225,0.71875,0.38,0.68375,830297.0,440176.0,,,,,,,,,,,,,,,,,,,,,,,,
global_scores,V06,7,1.3463636363636364,1.4768181818181818,0.5700000000000001,0.9222727272727272,0.6318181818181818,1.0286363636363636,750855.0,412920.6666666667,,,,,,,,,,,,,,,,,,,,,,,,
global_scores,V06,8,1.3815384615384616,1.4092307692307693,0.5253846153846153,0.8161538461538461,0.6499999999999999,0.9930769230769231,725312.0,418917.0,,,,,,,,,,,,,,,,,,,,,,,,
global_scores,V08,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
global_scores,V08,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
global_scores,V08,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
global_scores,V08,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
