feature,completeness,mi_subtype,mi_stage,score
RBDSQ_PARKISM,0.9833024118738405,0.0032853070686509334,0.016072724364930124,0.10512324273805365
RBDSQ_SLPDSTRB,0.9833024118738405,0.0,0.02223466164493093,0.10500063968086333
MCASER7,0.9675324675324676,0.0,0.02744956643374774,0.10498811668337107
QUIP_EATING_POS,0.9819109461966605,0.0,0.022010592133409723,0.10479427225968897
MCAREC4,0.9666048237476809,0.0,0.026955237206646387,0.10474705353676202
QUIP_TMGAMBLE,0.9819109461966605,0.0038562338058252266,0.01300656395487465,0.10440680408962359
MCACUBE,0.9675324675324676,0.006854203817165061,0.01073282395658115,0.10408561623052014
MCAYR,0.9670686456400742,0.0019168430206486509,0.020583727953433772,0.10403208876242676
NP3RTALJ,0.961038961038961,0.009531329758603047,0.00733530848170183,0.10402328650356849
SCOPA_SCAU7,0.9791280148423006,0.0007962894083877181,0.017441809785490925,0.10362311806490998
NP1DPRS,0.9833024118738405,0.0,0.017267797270796414,0.10351058036862297
MCAREC1,0.9670686456400742,0.0,0.02246351598555041,0.10344591935967255
QUIP_SCORE,0.9819109461966605,0.00862387108494067,0.0,0.10336541727063046
RBDSQ_RLS,0.9833024118738405,0.008361763018624346,0.0,0.10334729899855866
VITAL_TEMPC_x,0.9619666048237476,0.008953797575504963,0.005624689253798998,0.10325634580381744
QUIP_TMTMTACT,0.9819109461966605,5.61613601199884e-05,0.015734640847506753,0.10294518368999007
FEATWDGAIT,0.897495361781076,0.0070807481706216535,0.029643422950034193,0.10289101196549086
SCOPA_SCAU26D,0.9805194805194806,0.006144791335377819,0.0034767636015082815,0.10278185193362724
MCADATE,0.9670686456400742,0.0016134213444323198,0.017016165493933144,0.10277976701884677
QUIP_TMTORACT,0.9819109461966605,0.0036752019805024183,0.007462734744060562,0.10263503623118568
SCOPA_SCAU17,0.9823747680890538,0.005180043001773216,0.004012132544991331,0.10254914237346671
ESS_ESS5,0.9819109461966605,0.006749652351631941,0.0,0.10224088603064523
RBDSQ_DRMOBJFL,0.9833024118738405,0.0,0.012539452969428488,0.10209207707821259
SCOPA_SCAU6,0.9823747680890538,0.0,0.012728760740575495,0.10205610503107802
COGDXCL,0.9267161410018553,0.0042993575965288855,0.022682491016616346,0.10205597596308777
FEATMYCLNS,0.897495361781076,0.007550702395660247,0.025387825502384054,0.10189630526621897
FEATNOLEVO,0.897495361781076,0.013912481733405535,0.0125004427218256,0.1018471580346986
SCOPA_SCAU20,0.9823747680890538,0.0060008691240334144,0.0,0.10183799828332543
MCAFDS,0.9675324675324676,0.0,0.016437447525510684,0.10168448101089997
RBDSQ_STROKE,0.9833024118738405,0.0,0.01088214625569961,0.10159488506409393
SCOPA_SCAU26B,0.9819109461966605,0.0,0.011336395489570883,0.10159201326653733
QUIP_TMBUY,0.9819109461966605,0.0,0.010929479228007466,0.1014699383880683
GDSBORED,0.9791280148423006,0.0,0.011741529958913866,0.10143526047190422
SCOPA_SCAU13,0.9819109461966605,0.0,0.010518464132725391,0.10134663385948368
GDSALIVE,0.9795918367346939,0.004939448693141113,0.0,0.10092285288935407
QUIP_ANY_ICD,0.9819109461966605,0.0,0.009054398356975746,0.10090741412675878
MCALION,0.9675324675324676,0.006683523433278715,0.0,0.10076336081321399
GDSHOME,0.9791280148423006,0.0,0.009147130075216836,0.10065694050679512
MCACAMEL,0.9675324675324676,0.0,0.012561866333715699,0.10052180665336147
QUIP_TMEAT,0.9819109461966605,0.0,0.006700655512486442,0.100201291273412
FEATDYSTNA,0.897495361781076,0.011144720316042855,0.011893682613750123,0.10000447315185836
VITAL_DIASUP_x,0.9698515769944341,0.0,0.009996779617202911,0.0999841915846043
VITAL_BPARM,0.9675324675324676,0.0,0.010515690307687287,0.09990795384555294
RBDSQ_HETRA,0.9833024118738405,0.001327359679775153,0.0023087040229343714,0.09981926820212945
QUIP_TMSEX,0.9814471243042672,0.0,0.004041213543867883,0.09935707649358708
MCAREC5,0.9670686456400742,0.0,0.0066402782529788595,0.09869894803990109
RBDSQ_CNSOTH,0.9800556586270872,0.0,0.0019703530638528477,0.09859667178186458
RBDSQ_DEPRS,0.9833024118738405,0.0,0.0003222485334593017,0.09842691574742184
MCAREC3,0.9666048237476809,0.0,0.005571592547643611,0.09833196013906118
NP1DDS,0.9833024118738405,0.0,0.0,0.09833024118738405
RBDSQ_BRNINFM,0.9833024118738405,0.0,0.0,0.09833024118738405
FEATBWLDYS,0.897495361781076,0.0023280285349474017,0.023799960975962264,0.09828634159186472
QUIP_TMTRWD,0.9819109461966605,0.0,0.0,0.09819109461966606
QUIP_CNTRLGMB,0.9814471243042672,0.0,0.0,0.09814471243042672
GDSHOPLS,0.9795918367346939,0.0,0.0,0.0979591836734694
GDSMEMRY,0.9795918367346939,0.0,0.0,0.0979591836734694
GDSEMPTY,0.9791280148423006,0.0,0.0,0.09791280148423007
FEATURNDYS,0.897495361781076,0.0,0.02629957038498265,0.0976394072936024
NP4WDYSK,0.8042671614100185,0.023049908804730457,0.00936813280663884,0.09706710126583179
MCASNTNC,0.9675324675324676,0.0,0.0005653827868794536,0.0969228615893106
MCAALTTM,0.9675324675324676,0.0,0.0,0.09675324675324676
MCACLCKC,0.9675324675324676,0.0,0.0,0.09675324675324676
MCARHINO,0.9675324675324676,0.0,0.0,0.09675324675324676
