subtype,feature,real_mean,real_std,gen_mean,gen_std,abs_mean_gap,abs_std_gap
3,NP3LGAGR,1.2365591526031494,0.9548725485801697,0.8202105164527893,2.6499812602996826,0.4163486361503601,1.6951086521148682
3,NP3RISNG,0.9569892287254333,1.1063257455825806,0.42314159870147705,0.8915744423866272,0.5338476300239563,0.21475130319595337
3,NHY_OFF,2.365591287612915,0.684465765953064,2.2639577388763428,1.7928228378295898,0.10163354873657227,1.1083570718765259
3,NP3RIGRL,1.3333333730697632,0.942808985710144,0.9266732931137085,1.1263188123703003,0.4066600799560547,0.18350982666015625
3,NP2PTOT,13.580645561218262,8.305099487304688,10.317669868469238,10.266886711120605,3.2629756927490234,1.961787223815918
3,NP3GAIT,1.376344084739685,0.866509199142456,0.9454663991928101,1.0025866031646729,0.430877685546875,0.1360774040222168
3,NP3RTCON,1.1290322542190552,1.2376339435577393,0.5401563048362732,1.660162091255188,0.588875949382782,0.42252814769744873
3,MSEADLG,77.74193572998047,16.550933837890625,89.23644256591797,12.476202011108398,11.4945068359375,4.074731826782227
3,NP3PSTBL,0.8709677457809448,1.1190029382705688,0.46050402522087097,1.088820219039917,0.41046372056007385,0.030182719230651855
3,NP3PTRMR,0.5376344323158264,0.810670018196106,0.4799613952636719,1.473012924194336,0.05767303705215454,0.66234290599823
